Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Antonov,1039,755,49
Boeing,5785,3057,96
Lockheed,40,40,0
Douglas,913,761,57
Embraer,177,113,0
