Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Lockheed C-130H Hercules,13,13,0
Lockheed KC-130T Hercules,16,16,0
Lockheed L-100 Hercules,8,8,0
Lockheed L-100-30 Hercules,3,3,0
Lockheed,40,40,0
