Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Douglas DC-3,14,14,0
Douglas DC-3C,10,10,0
Douglas DC9-15F,2,1,0
Mc Donnell Douglas 369FF Rotocraft,5,1,0
Mc Donnell Douglas MD-83,116,116,0
McDonnell Douglas DC-9-51,85,0,47
McDonnell Douglas MD-11,2,2,0
McDonnell Douglas MD-11F,7,3,0
McDonnell Douglas MD-82,462,404,0
McDonnell Douglas MD-83,210,210,10
Douglas,913,761,57
