Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Embraer 110 Bandeirante,1,1,0
Embraer 120RT Brasilia,20,16,0
Embraer EMB-110 Bandeirante,1,1,0
Embraer EMB-110C Bandeirante,10,2,0
Embraer EMB-110P1 Bandeirant,2,2,0
Embraer EMB-120ER,7,7,0
Embraer ERJ-190-100LR,96,44,0
Embraer ERJ-190AR,33,33,0
Embraer/Piper EMB-810C Seneca,7,7,0
Embraer,177,113,0
